"Year","Expense Category","Expenditure"
"2015","Humanitarian Assistance","14,878,329,363"
"2015","Development Assistance","12,029,356,715"
"2015","Peacekeeping Operations","9,019,097,124"
"2015","Normative, Treaty-related and Knowledge creation activities","8,134,849,653"
"2015","Technical Cooperation","4,014,852,409"
