"Calendar year","Donor code","Donor","Math expression"
"2013","TZA","United Republic of Tanzania","1,505,717"
"2013","SEN","Senegal","1,489,557"
"2013","FJI","Fiji","1,356,013"
"2013","MMR","Myanmar","1,341,432"
"2013","RWA","Rwanda","1,318,971"
"2013","LAO","Lao People's Democratic Republic","1,306,565"
"2013","PSE","State of Palestine","1,281,029"
"2013","WSM","Samoa","1,237,887"
"2013","KGZ","Kyrgyzstan","1,235,115"
"2013","LSO","Lesotho","1,201,043"
"2013","TCD","Chad","1,176,311"
"2013","FLEM","Flemish Government","1,154,762"
"2013","CPV","Cabo Verde","1,150,814"
"2013","ZWE","Zimbabwe","1,128,599"
"2013","DJI","Djibouti","1,095,100"
"2013","MDA","Republic of Moldova","1,045,435"
"2013","BFA","Burkina Faso","991,642"
"2013","KOS","Kosovo","975,452"
"2013","PNG","Papua New Guinea","955,849"
"2013","MDV","Maldives","926,191"
"2013","SLB","Solomon Islands","873,648"
"2013","SMR","San Marino","849,177"
"2013","ATG","Antigua and Barbuda","835,263"
"2013","TGO","Togo","807,591"
"2013","BDI","Burundi","776,721"
"2013","KNA","Saint Kitts and Nevis","735,289"
"2013","BLZ","Belize","696,129"
"2013","GUY","Guyana","691,825"
"2013","MAC","The special administrative region of Macao China","683,376"
"2013","CAF","Central African Republic","569,493"
"2013","VCT","Saint Vincent and the Grenadines","536,311"
"2013","SYC","Seychelles","530,856"
"2013","STP","Sao Tome and Principe","529,351"
"2013","COM","Comoros","525,662"
"2013","SUR","Suriname","511,391"
"2013","ABW","Aruba","475,989"
"2013","GMB","Gambia","454,012"
"2013","TJK","Tajikistan","453,101"
"2013","LCA","Saint Lucia","422,204"
"2013","VUT","Vanuatu","419,440"
"2013","BTN","Bhutan","387,550"
"2013","ERI","Eritrea","378,874"
"2013","MRT","Mauritania","272,675"
"2013","GRD","Grenada","259,231"
"2013","DMA","Dominica","259,117"
"2013","TON","Tonga","234,315"
"2013","KIR","Kiribati","183,642"
"2013","VAT","Holy See","179,638"
"2013","NRU","Nauru","175,406"
"2013","TUV","Tuvalu","173,901"
"2013","SHN","Saint Helena","156,554"
"2013","PLW","Palau","150,577"
"2013","FSM","Micronesia (Federated States of)","147,362"
"2013","COK","Cook Islands","144,552"
"2013","NIU","Niue","134,794"
"2013","MSR","Montserrat","131,641"
"2013","TKL","Tokelau","117,435"
"2013","PRI","Puerto Rico","85,458"
"2013","FRO","Faroe Islands","66,684"
"2013","AIA","Anguilla","63,122"
"2013","TCA","Turks & Caicos","53,982"
"2013","REU","Reunion","36,273"
"2013","PYF","French Polynesia","35,504"
"2013","SXM","Sint Maarten (Dutch part)","16,841"
"2013","VGB","British Virgin Islands","16,841"
"2013","NCL","New Caledonia","14,713"
"2013","","","14,156"
"2013","CYM","Cayman Islands","9,229"
"2013","SWZ","Swaziland","-5,176,129"
