"Calendar year","Donor code","Donor","Math expression"
"2010","BFA","Burkina Faso","5,221,123"
"2010","ISL","Iceland","5,097,325"
"2010","LTU","Lithuania","5,063,342"
"2010","HTI","Haiti","4,980,209"
"2010","GEF","Global Environment Facility (thru UNDP or UNEP)","4,956,536"
"2010","TUN","Tunisia","4,935,512"
"2010","CUB","Cuba","4,719,220"
"2010","MKD","The former Yugoslav Republic of Macedonia","4,660,815"
"2010","EST","Estonia","4,544,469"
"2010","NIC","Nicaragua","4,520,826"
"2010","ECU","Ecuador","4,428,401"
"2010","BWA","Botswana","4,397,236"
"2010","KAZ","Kazakhstan","4,191,206"
"2010","ZMB","Zambia","4,122,227"
"2010","GNQ","Equatorial Guinea","4,074,315"
"2010","SDN","Sudan","4,013,502"
"2010","MLI","Mali","3,940,763"
"2010","CMR","Cameroon","3,810,134"
"2010","AGO","Angola","3,637,585"
"2010","TWN","Chinese Taipei","3,609,458"
"2010","GAB","Gabon","3,562,329"
"2010","KHM","Cambodia","3,535,342"
"2010","CRI","Costa Rica","3,217,420"
"2010","BHS","Bahamas","3,185,899"
"2010","MCO","Monaco","3,111,424"
"2010","VNM","Viet Nam","2,963,217"
"2010","LKA","Sri Lanka","2,922,736"
"2010","TTO","Trinidad and Tobago","2,702,557"
"2010","MLT","Malta","2,640,768"
"2010","NAM","Namibia","2,592,719"
"2010","JOR","Jordan","2,559,207"
"2010","LIE","Liechtenstein","2,541,947"
"2010","GEO","Georgia","2,417,444"
"2010","MUS","Mauritius","2,299,592"
"2010","MHL","Marshall Islands","2,229,898"
"2010","TKM","Turkmenistan","2,023,550"
"2010","PSE","State of Palestine","1,904,915"
"2010","YEM","Yemen","1,878,205"
"2010","MMR","Myanmar","1,860,698"
"2010","LVA","Latvia","1,783,698"
"2010","NER","Niger","1,769,838"
"2010","BLR","Belarus","1,711,816"
"2010","PRIVATE","Private","1,604,000"
"2010","SUR","Suriname","1,589,954"
"2010","AND","Andorra","1,492,627"
"2010","COM","Comoros","1,460,287"
"2010","BRN","Brunei Darussalam","1,294,741"
"2010","JAM","Jamaica","1,273,329"
"2010","MAC","The special administrative region of Macao China","1,242,024"
"2010","FJI","Fiji","1,089,389"
"2010","LAO","Lao People's Democratic Republic","1,066,088"
"2010","PNG","Papua New Guinea","1,033,844"
"2010","ZWE","Zimbabwe","1,012,791"
"2010","BIH","Bosnia and Herzegovina","986,606"
"2010","STP","Sao Tome and Principe","973,285"
"2010","MDG","Madagascar","951,411"
"2010","TLS","Timor-Leste","944,750"
"2010","UGA","Uganda","938,387"
"2010","UZB","Uzbekistan","928,620"
"2010","ALB","Albania","915,557"
"2010","MNG","Mongolia","902,750"
"2010","SWZ","Swaziland","861,388"
"2010","SEN","Senegal","857,955"
"2010","TCD","Chad","849,320"
"2010","TGO","Togo","841,189"
"2010","TJK","Tajikistan","795,040"
"2010","ARM","Armenia","772,536"
"2010","TZA","United Republic of Tanzania","769,601"
"2010","KOS","Kosovo","755,197"
"2010","CPV","Cabo Verde","746,987"
"2010","ATG","Antigua and Barbuda","732,742"
"2010","LSO","Lesotho","693,299"
"2010","GMB","Gambia","679,145"
"2010","BRB","Barbados","642,886"
"2010","RWA","Rwanda","635,835"
"2010","GHA","Ghana","608,390"
"2010","MNE","Montenegro","601,514"
"2010","BLZ","Belize","590,294"
"2010","MDA","Republic of Moldova","587,523"
"2010","SYC","Seychelles","576,672"
"2010","BDI","Burundi","521,516"
"2010","SMR","San Marino","462,468"
"2010","VCT","Saint Vincent and the Grenadines","459,281"
"2010","PRK","Democratic People's Republic of Korea","451,158"
"2010","GUY","Guyana","432,873"
"2010","CAF","Central African Republic","354,237"
"2010","GIN","Guinea","324,679"
"2010","LCA","Saint Lucia","324,606"
"2010","MRT","Mauritania","324,055"
"2010","SLE","Sierra Leone","323,443"
"2010","MDV","Maldives","322,680"
"2010","VUT","Vanuatu","319,040"
"2010","GNB","Guinea-Bissau","299,331"
"2010","GRD","Grenada","290,454"
"2010","DJI","Djibouti","279,024"
"2010","MOZ","Mozambique","273,555"
"2010","KNA","Saint Kitts and Nevis","258,813"
"2010","ERI","Eritrea","256,897"
"2010","BTN","Bhutan","251,576"
"2010","DMA","Dominica","228,792"
"2010","WSM","Samoa","228,675"
"2010","TON","Tonga","180,134"
"2010","FSM","Micronesia (Federated States of)","171,375"
"2010","VGB","British Virgin Islands","165,789"
"2010","KIR","Kiribati","165,719"
"2010","SLB","Solomon Islands","159,501"
"2010","PLW","Palau","151,838"
"2010","VAT","Holy See","146,558"
"2010","NRU","Nauru","134,684"
"2010","PRI","Puerto Rico","132,833"
"2010","TUV","Tuvalu","132,623"
"2010","FRO","Faroe Islands","129,170"
"2010","FLEM","Flemish Government","87,673"
"2010","COK","Cook Islands","71,146"
"2010","ABW","Aruba","62,286"
"2010","MSR","Montserrat","43,430"
"2010","TCA","Turks & Caicos","41,155"
"2010","AIA","Anguilla","37,791"
"2010","CYM","Cayman Islands","24,343"
"2010","BMU","Bermuda","15,000"
"2010","IMN","Isle of Man","14,170"
"2010","NIU","Niue","9,381"
"2010","TKL","Tokelau","2,242"
