"Calendar year","Donor code","Donor","Math expression"
"2010","USA","United States of America","5,033,401,360"
"2010","JPN","Japan","2,138,063,907"
"2010","GBR","United Kingdom of Great Britain and Northern Ireland","1,444,181,281"
"2010","CAN","Canada","1,101,809,507"
"2010","NOR","Norway","1,064,178,537"
"2010","NLD","Netherlands","985,426,402"
"2010","SWE","Sweden","971,057,071"
"2010","DEU","Germany","876,981,634"
"2010","ESP","Spain","783,596,157"
"2010","AUS","Australia","518,588,589"
"2010","FRA","France","471,076,975"
"2010","DNK","Denmark","450,003,327"
"2010","ITA","Italy","436,945,163"
"2010","CHE","Switzerland","344,162,571"
"2010","EC","European Commission","340,501,822"
"2010","BRA","Brazil","327,896,660"
"2010","FIN","Finland","297,309,608"
"2010","BEL","Belgium","273,986,603"
"2010","ARG","Argentina","209,148,372"
"2010","SAU","Saudi Arabia","191,451,323"
"2010","CHN","China","190,086,057"
"2010","KOR","Republic of Korea","163,182,312"
"2010","MEX","Mexico","130,564,411"
"2010","RUS","Russian Federation","127,985,442"
"2010","IRL","Ireland","125,615,022"
"2010","PAN","Panama","100,001,395"
"2010","LUX","Luxembourg","97,923,322"
"2010","COL","Colombia","94,063,099"
"2010","IND","India","89,430,204"
"2010","AUT","Austria","89,010,338"
"2010","EGY","Egypt","78,273,536"
"2010","HND","Honduras","70,697,488"
"2010","SLV","El Salvador","65,559,770"
"2010","NZL","New Zealand","65,290,177"
"2010","IRQ","Iraq","59,356,993"
"2010","PER","Peru","54,825,086"
"2010","TUR","Turkey","50,997,131"
"2010","ARE","United Arab Emirates","43,332,267"
"2010","ETH","Ethiopia","41,075,654"
"2010","GRC","Greece","39,546,603"
"2010","NPL","Nepal","39,261,711"
"2010","VEN","Venezuela (Bolivarian Republic of)","35,142,930"
"2010","NGA","Nigeria","34,689,185"
"2010","POL","Poland","34,430,768"
"2010","PRT","Portugal","33,751,678"
"2010","OMN","Oman","33,434,466"
"2010","DZA","Algeria","27,371,560"
"2010","THA","Thailand","25,923,516"
"2010","ZAF","South Africa","25,733,346"
"2010","MYS","Malaysia","21,280,626"
"2010","DOM","Dominican Republic","20,860,895"
"2010","URY","Uruguay","20,597,286"
"2010","SGP","Singapore","20,551,563"
"2010","KWT","Kuwait","20,112,883"
"2010","ISR","Israel","19,658,915"
"2010","CZE","Czech Republic","18,200,108"
"2010","PAK","Pakistan","16,915,884"
"2010","IDN","Indonesia","16,577,884"
"2010","AFG","Afghanistan","16,096,079"
"2010","COG","Congo","15,790,254"
"2010","HUN","Hungary","15,780,566"
"2010","CHL","Chile","15,674,272"
"2010","WBGROUP","World Bank","14,610,642"
"2010","MAR","Morocco","14,446,208"
"2010","GTM","Guatemala","14,285,738"
"2010","CIV","Cote d'Ivoire","13,158,225"
"2010","PRY","Paraguay","13,034,766"
"2010","SSD","South Sudan","13,017,294"
"2010","SRB","Serbia","12,527,653"
"2010","SYR","Syrian Arab Republic","12,466,868"
"2010","LBN","Lebanon","11,992,692"
"2010","LBY","Libya","11,749,227"
"2010","IRN","Iran (Islamic Republic of)","11,187,901"
"2010","KEN","Kenya","10,715,035"
"2010","BEN","Benin","10,714,185"
"2010","QAT","Qatar","10,253,250"
"2010","AZE","Azerbaijan","10,101,551"
"2010","MWI","Malawi","9,753,490"
"2010","ROU","Romania","9,468,293"
"2010","COD","Democratic Republic of the Congo","9,245,766"
"2010","HRV","Croatia","8,920,234"
"2010","AECID","AECID","8,794,726"
"2010","BGD","Bangladesh","8,315,337"
"2010","PHL","Philippines","7,958,577"
"2010","SOM","Somalia","7,705,964"
"2010","CYP","Cyprus","7,373,824"
"2010","KGZ","Kyrgyzstan","7,302,018"
"2010","BHR","Bahrain","7,001,047"
"2010","HKG","Hong Kong China (c)","6,823,512"
"2010","SVK","Slovakia","6,788,048"
"2010","SVN","Slovenia","6,526,640"
"2010","LBR","Liberia","6,478,997"
"2010","BOL","Bolivia (Plurinational State of)","5,514,609"
"2010","BGR","Bulgaria","5,379,622"
"2010","UKR","Ukraine","5,276,275"
