"id"
"UN.General Assembly"
"UN.General Assembly.Subsidary Organs"
"UN.General Assembly.Funds and Programmes"
"UN.General Assembly.Research and Training"
"UN.General Assembly.Other Entities"
"UN.General Assembly.Related Organizations"
"UN.Security Council"
"UN.Economic and Social Council"
"UN.Secretariat"
"UN.International Court of Justice"
"UN.Trusteeship Council"


